Age:,Gender: ,Profession:,Education level :,Place :,Monthly income :,Variant of Tata Nexon:,Transmission :,Fuel type :,Primary driver :,Main reason for choosing Tata Nexon :,Usage frequency :,Performance,Comfort,Fuel efficiency,Features,After sales service,Highway stability at high speeds,Handling,Build quality,Braking system,Maintenance cost,Availability of accessories,Steering response,Suspension comfort,Safety,How would you rate your overall satisfaction with Tata Nexon?,How would you recommend Nexon to others?,Would you buy a Tata car again?
18-28,Male,Other,Post Graduate,Rural,"More than 2,00,000",Nexon Creative,Manual,Petrol,Family,Safety,Occasionally (1-2 times per week),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Likely to recommend, Maybe – I’m open to Tata Nexon but would also explore other options.
29-38,Male,Other,Graduate,Urban,"50,000-1,00,000",Nexon Creative,Manual,Petrol,Driver,Safety,Daily,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,Very likely to recommend," Yes, definitely – Very satisfied with my current Tata Nexon and would purchase it again."
29-38,Male,Other,Post Graduate,Rural,"50,000-1,00,000",Nexon Creative,Manual,Petrol,Family,"Features, Brand",Daily,3,2,4,3,4,3,5,4,3,2,4,4,5,4,4,Likely to recommend, Maybe – I’m open to Tata Nexon but would also explore other options.
18-28,Male,Private employee,Graduate,Urban,"50,000-1,00,000",Nexon Creative,Automatic,Petrol,Driver,"Safety, Features, Milage/Range",Daily,5,3,4,4,4,4,2,2,4,2,4,4,3,4,3,Neutral, Not sure – I haven’t decided yet.
29-38,Female,Government employee,Post Graduate,Urban,"50,000-1,00,000",Nexon Creative,Manual,Petrol,Family,"Features, Price",Daily,4,2,4,4,4,4,2,2,5,2,4,5,4,3,3,Neutral, Not sure – I haven’t decided yet.
48 and above,Male,Other,Post Graduate,Urban,"50,000-1,00,000",Nexon Creative,Manual,Petrol,Driver,Safety,Occasionally (1-2 times per week),4,4,3,3,3,4,4,4,4,5,5,4,4,4,4,Likely to recommend, Maybe – I’m open to Tata Nexon but would also explore other options.
29-38,Male,Private employee,Post Graduate,Urban,"More than 2,00,000",Nexon Creative,Manual,Petrol,Driver,"Safety, Brand, Milage/Range",Daily,4,5,2,3,2,3,4,4,3,4,3,3,3,2,2,Unlikely to recommend,Unlikely – I’m considering switching to a different brand due to some concerns or better alternatives.
48 and above,Male,Private employee,Post Graduate,Urban,"50,000-1,00,000",Nexon Creative,Manual,Petrol,Driver,"Price, Brand, Milage/Range",Daily,3,5,5,4,4,4,5,5,4,5,4,3,5,5,4,Likely to recommend, Maybe – I’m open to Tata Nexon but would also explore other options.
18-28,Male,Other,Post Graduate,Urban,"Less than 50,000",Nexon Creative,Manual,Petrol,Self,"Safety, Features, Price, Milage/Range",Occasionally (1-2 times per week),3,5,4,4,4,5,5,4,3,5,5,5,4,4,4,Likely to recommend, Maybe – I’m open to Tata Nexon but would also explore other options.
29-38,Male,Other,Graduate,Urban,"50,000-1,00,000",Nexon Creative,Manual,Petrol,Driver,Safety,Daily,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,Very likely to recommend," Yes, definitely – Very satisfied with my current Tata Nexon and would purchase it again."
